Title,Contents,Date
我喜欢ASOS,我喜欢ASOS和所有的客户服务，他们非常可爱,14-Dec-19
优质的客户服务,"我的订单被放在外面，学校的孩子们抢了它，但这是由于Hermes把它放在外面，ASOS退款并立即解决了我的问题，Mairi非常友善和乐于助人。10/10的客户服务。",14-Dec-19
乐于助人和友好的员工。,乐于助人和友好的员工。,14-Dec-19
快速回复并确保他们的客户满意,快速回复并确保他们的客户满意,14-Dec-19
乐于助人的客户服务人员但配送有问题！,"Rebecca对我的问题耐心和乐于助人，但ASOS的配送似乎存在一些物流问题。我只收到了4个包裹中的1个，这些包裹被认为是在同一天交付的。",14-Dec-19
"完美，喜欢ASOS的服务","快速，友好，清晰的回答！完美，我喜欢ASOS的服务",14-Dec-19
连接在线聊天服务花了20多分钟_,"连接在线聊天服务花了20多分钟。等待聊天开始时，客服助手需要18分钟才能回答我的问题，而且回答也非常没有帮助。总体而言，与其他在线聊天服务相比，服务很差。",14-Dec-19
可怕的公司,"可怕的公司。我试图让他们交付，但遭遇了很多麻烦，所以我不会再使用他们了。不幸的是，我忘了告诉我的妻子，看着她经历同样的闹剧。这家公司怎么还能继续经营呢？",14-Dec-19
非常有帮助,"非常有帮助，清晰和迅速",14-Dec-19
交付但没有手表！,"订购了一只Vivienne Westwood手表，按时交付，但密封的包装里没有手表！圣诞节的压力！在试图找到快速解决此问题的方法（ASOS没有电话号码，而且聊天框会不断消失，除非你像键盘上的闪电一样快），我与Donique联系，他快速解决了这个问题，重新订购并在4个工作日内交付。这减轻了我的交付焦虑，因为这是我女儿的礼物。总体而言，友好和高效的服务，并且如果它到达（已确认有库存）并且里面有手表（！），我将再次成为快乐的客户。悲哀的是，当我们努力赚钱购买这些礼物时，人们（可能是在包装阶段）会偷窃。到目前为止，ASOS做得很好！",14-Dec-19
